CountryName,FragilityIndex,m0_4,m5_9,m10_14,m15_19,m20_24,m25_29,m30_34,m35_39,m40_44,m45_49,m50_54,m55_59,m60_64,m65_69,m70_74,m75_79,m80_84,m85_89,m90_94,m95_99,m100_
Spain,44.4,1223491,1267205,1155826,1108328,1224726,1416627,1808680,2077662,1968399,1854498,1648594,1396129,1213498,1092413,813046,731828,552539,279796,90603,15046,1682
Sri Lanka,92.9,905232,920738,874828,839334,785906,752305,823654,716550,675064,633397,605401,517236,443384,313471,198546,122731,67492,29424,10712,2500,51
Sudan,111,3000416,2502691,2217768,1947831,1729155,1549628,1274280,901396,660835,520934,464082,431708,343539,223510,121309,64337,34811,14471,2358,34,1
Suriname,71.2,27566,28051,27763,24997,23490,23659,21913,19183,19626,18143,15119,10608,7879,5239,4093,2788,1657,625,178,27,3
Swaziland,85.6,76713,70426,65842,62883,60809,51527,40914,30127,23073,17759,13147,10646,9339,6427,3858,2153,1028,443,134,26,2
Sweden,19.7,297766,286193,260550,290543,347921,319363,307711,314361,326772,347921,300657,290233,287847,297313,211983,145493,101903,59232,22738,3657,281
Switzerland,21.5,209929,202136,207764,226628,253407,271838,285060,279766,306770,338079,308706,261933,226119,205344,155343,115534,79973,42928,15043,2465,256
Syria,97.4,1509406,1457248,1262242,1063450,899669,892979,815705,704168,584820,455106,348242,272089,205952,150176,99456,64512,35965,13111,2412,219,10
Tajikistan,85.2,588279,484226,450844,429449,422426,374438,279521,222034,197857,175652,157505,106529,68253,38365,35312,25521,14876,5684,933,86,5
Tanzania,81.1,4293783,3751425,3067468,2402147,1957436,1747670,1597946,1348030,1045878,780375,594018,500054,419526,327633,197569,106517,48822,18531,4487,730,66
Thailand,75.1,2081233,2102699,2270509,2585664,2562465,2547226,2652343,2497896,2622128,2672552,2578402,2173558,1656292,1117411,821489,578237,333253,152077,48845,15531,3314
Timor-Leste,91.5,81022,82859,78033,65423,53955,43942,33275,28461,27591,22802,17674,14574,14433,12950,8255,4320,2262,1175,417,68,4
